City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Ambilobe,MG,76.77,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
515,Samarai,PG,84.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
516,Buala,SB,83.82,light rain,-8.145,159.5921,Maringe Lagoon Lodge
520,Pangkalanbuun,ID,89.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
524,Bobon,PH,80.56,overcast clouds,12.5246,124.5636,PATILAN RESIDENCE
533,Nelson Bay,AU,76.08,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
534,Takaungu,KE,75.49,broken clouds,-3.6837,39.8566,Takaungu House
537,Gigmoto,PH,78.55,overcast clouds,13.7796,124.39,Cj's Travellers Inn
539,Sinnamary,GF,75.7,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
542,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
543,Puerto Carreno,CO,81.34,broken clouds,6.189,-67.4859,Casa Hotel Victoria
551,Sao Joao Da Barra,BR,75.7,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
552,Nabire,ID,86.38,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
555,Sri Aman,MY,84.25,few clouds,1.2376,111.4621,Seri Simanggang Hotel
562,Key West,US,77.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
567,Timbo,BR,78.4,overcast clouds,-26.8233,-49.2717,Timbó Park Hotel
568,Salgueiro,BR,75.69,broken clouds,-8.0742,-39.1192,Hotel Requinte
569,Ambulu,ID,83.82,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
590,Port Moresby,PG,90.82,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
593,Pathein,MM,85.96,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
595,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
598,Piacabucu,BR,77.81,few clouds,-10.4056,-36.4344,Piaçabuçu News
602,Amuntai,ID,84.2,overcast clouds,-2.4177,115.2494,Hotel Balqis
622,Portachuelo,BO,76.1,overcast clouds,-17.35,-63.4,MOTEL
627,Sisophon,KH,82.29,scattered clouds,13.5859,102.9737,Pyramid Hotel
628,Kupang,ID,84.04,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
631,Kraksaan,ID,82.76,broken clouds,-7.7585,113.3962,Asrama Hati
632,Sampit,ID,90.5,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
634,Itarema,BR,78.62,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
636,Viamao,BR,75.38,clear sky,-30.0811,-51.0233,Hotel Itália
